country,sub_item,year,currency,VA1,code,VA2,WAGE1
Argentina,"Agriculture, hunting, forestry fishing",1993,Argentine peso,12149000000,AB,12149000000,2123000000
Argentina,Mining and quarrying,1993,Argentine peso,3525000000,C,3525000000,800700000
Argentina,Manufacturing,1993,Argentine peso,38907000000,D,38907000000,17666000000
Argentina,"Electricity, gas and water supply",1993,Argentine peso,4461000000,E,4461000000,2213000000
Argentina,Construction,1993,Argentine peso,13393000000,F,13393000000,4355000000
Argentina,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1993,Argentine peso,39294000000,GH,39294000000,10920000000
Argentina,"Transport, storage and communications",1993,Argentine peso,16134000000,I,16134000000,6213000000
Argentina,"Financial intermediation real estate, renting and business activities",1993,Argentine peso,43202000000,JK,43202000000,8039000000
Argentina,Total Economy,1993,Argentine peso,216609000000,TOT,211721000000,89553000000
Argentina,"Agriculture, hunting, forestry fishing",1994,Argentine peso,13085000000,AB,13085000000,2227000000
Argentina,Mining and quarrying,1994,Argentine peso,3818000000,C,3818000000,865000000
Argentina,Manufacturing,1994,Argentine peso,41596000000,D,41596000000,18547000000
Argentina,"Electricity, gas and water supply",1994,Argentine peso,4730000000,E,4730000000,2314000000
Argentina,Construction,1994,Argentine peso,14311000000,F,14311000000,4419000000
Argentina,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1994,Argentine peso,42798000000,GH,42798000000,11436000000
Argentina,"Transport, storage and communications",1994,Argentine peso,18251000000,I,18251000000,6692000000
Argentina,"Financial intermediation real estate, renting and business activities",1994,Argentine peso,48599000000,JK,48599000000,8556000000
Argentina,Total Economy,1994,Argentine peso,235846000000,TOT,230374000000,94665000000
Argentina,"Agriculture, hunting, forestry fishing",1995,Argentine peso,13808500000,AB,13808500000,2394000000
Argentina,Mining and quarrying,1995,Argentine peso,4838400000,C,4838400000,768000000
Argentina,Manufacturing,1995,Argentine peso,44502100000,D,44502100000,17215000000
