Catégorie : Toutes les catégories

Semaine,live tennis: (Dans tous les pays)
2012-07-01,70
2012-07-08,49
2012-07-15,18
2012-07-22,22
2012-07-29,88
2012-08-05,34
2012-08-12,19
2012-08-19,17
2012-08-26,34
2012-09-02,49
2012-09-09,55
2012-09-16,14
2012-09-23,14
2012-09-30,17
2012-10-07,21
2012-10-14,19
2012-10-21,19
2012-10-28,19
2012-11-04,24
2012-11-11,22
2012-11-18,7
2012-11-25,5
2012-12-02,4
2012-12-09,4
2012-12-16,4
2012-12-23,7
2012-12-30,17
2013-01-06,14
2013-01-13,35
2013-01-20,62
2013-01-27,29
2013-02-03,15
2013-02-10,20
2013-02-17,18
2013-02-24,20
2013-03-03,14
2013-03-10,28
2013-03-17,20
2013-03-24,25
2013-03-31,20
2013-04-07,14
2013-04-14,22
2013-04-21,23
2013-04-28,14
2013-05-05,28
2013-05-12,33
2013-05-19,21
2013-05-26,44
2013-06-02,64
2013-06-09,30
2013-06-16,21
2013-06-23,48
2013-06-30,100
2013-07-07,43
2013-07-14,18
2013-07-21,18
2013-07-28,17
2013-08-04,24
2013-08-11,33
2013-08-18,20
2013-08-25,42
2013-09-01,59
2013-09-08,39
2013-09-15,13
2013-09-22,13
2013-09-29,20
2013-10-06,25
2013-10-13,18
2013-10-20,22
2013-10-27,30
2013-11-03,30
2013-11-10,21
2013-11-17,7
2013-11-24,5
2013-12-01,5
2013-12-08,4
2013-12-15,4
2013-12-22,7
2013-12-29,25
2014-01-05,17
2014-01-12,36
2014-01-19,74
2014-01-26,26
2014-02-02,13
2014-02-09,17
2014-02-16,19
2014-02-23,22
2014-03-02,15
2014-03-09,29
2014-03-16,23
2014-03-23,31
2014-03-30,20
2014-04-06,15
2014-04-13,27
2014-04-20,23
2014-04-27,16
2014-05-04,23
2014-05-11,36
2014-05-18,21
2014-05-25,41
2014-06-01,57
2014-06-08,38
2014-06-15,22
2014-06-22,42
2014-06-29,58
2014-07-06,36
2014-07-13,16
2014-07-20,16
2014-07-27,18
2014-08-03,28
2014-08-10,31
2014-08-17,22
2014-08-24,37
2014-08-31,60
2014-09-07,29
2014-09-14,16
2014-09-21,16
2014-09-28,21
2014-10-05,26
2014-10-12,19
2014-10-19,30
2014-10-26,30
2014-11-02,12
2014-11-09,31
2014-11-16,19
2014-11-23,9
2014-11-30,7
2014-12-07,6
2014-12-14,4
2014-12-21,4
2014-12-28,7
2015-01-04,23
2015-01-11,18
2015-01-18,40
2015-01-25,54
2015-02-01,26
2015-02-08,18
2015-02-15,24
2015-02-22,27
2015-03-01,17
2015-03-08,18
2015-03-15,31
2015-03-22,31
2015-03-29,29
2015-04-05,20
2015-04-12,27
2015-04-19,23
2015-04-26,20
2015-05-03,30
2015-05-10,36
2015-05-17,23
2015-05-24,44
2015-05-31,71
2015-06-07,30
2015-06-14,30
2015-06-21,21
2015-06-28,55
2015-07-05,79
2015-07-12,42
2015-07-19,17
2015-07-26,19
2015-08-02,18
2015-08-09,27
2015-08-16,40
2015-08-23,23
2015-08-30,53
2015-09-06,72
2015-09-13,47
2015-09-20,16
2015-09-27,18
2015-10-04,20
2015-10-11,25
2015-10-18,18
2015-10-25,25
2015-11-01,30
2015-11-08,13
2015-11-15,32
2015-11-22,16
2015-11-29,7
2015-12-06,6
2015-12-13,5
2015-12-20,4
2015-12-27,6
2016-01-03,24
2016-01-10,18
2016-01-17,40
2016-01-24,73
2016-01-31,27
2016-02-07,21
2016-02-14,20
2016-02-21,21
2016-02-28,16
2016-03-06,17
2016-03-13,26
2016-03-20,22
2016-03-27,27
2016-04-03,15
2016-04-10,30
2016-04-17,25
2016-04-24,20
2016-05-01,29
2016-05-08,40
2016-05-15,22
2016-05-22,43
2016-05-29,52
2016-06-05,32
2016-06-12,30
2016-06-19,20
2016-06-26,47
2016-07-03,69
2016-07-10,29
2016-07-17,17
2016-07-24,21
2016-07-31,22
2016-08-07,81
2016-08-14,42
2016-08-21,14
2016-08-28,38
2016-09-04,55
2016-09-11,26
2016-09-18,15
2016-09-25,15
2016-10-02,18
2016-10-09,21
2016-10-16,15
2016-10-23,22
2016-10-30,25
2016-11-06,10
2016-11-13,27
2016-11-20,15
2016-11-27,7
2016-12-04,5
2016-12-11,5
2016-12-18,4
2016-12-25,6
2017-01-01,27
2017-01-08,15
2017-01-15,43
2017-01-22,73
2017-01-29,49
2017-02-05,16
2017-02-12,19
2017-02-19,17
2017-02-26,23
2017-03-05,17
2017-03-12,33
2017-03-19,25
2017-03-26,40
2017-04-02,23
2017-04-09,14
2017-04-16,27
2017-04-23,29
2017-04-30,21
2017-05-07,35
2017-05-14,40
2017-05-21,23
2017-05-28,44
2017-06-04,55
2017-06-11,28
2017-06-18,28
