Population totale par sexe et âge au 1er janvier 2017, France				
Mis à jour : janvier 2017				
				
Année de naissance	Âge révolu	Nombre d'hommes	Nombre de femmes	Ensemble
2016	0	382 585	364 392	746 977
2015	1	390 810	373 164	763 974
2014	2	402 728	386 467	789 195
2013	3	405 636	387 097	792 733
2012	4	416 074	396 365	812 439
2011	5	419 825	403 745	823 570
2010	6	431 441	413 015	844 456
2009	7	430 766	410 302	841 068
2008	8	432 988	414 480	847 468
2007	9	430 455	410 800	841 255
2006	10	437 868	417 377	855 245
2005	11	428 095	408 856	836 951
2004	12	426 346	407 709	834 055
2003	13	424 143	405 009	829 152
2002	14	427 103	406 661	833 764
2001	15	434 624	414 303	848 927
2000	16	442 477	421 718	864 195
1999	17	420 859	399 845	820 704
1998	18	412 130	393 748	805 878
1997	19	398 672	379 913	778 585
1996	20	396 021	378 786	774 807
1995	21	385 668	374 438	760 106
1994	22	371 370	364 912	736 282
1993	23	365 665	361 957	727 622
1992	24	383 622	379 397	763 019
1991	25	384 159	386 886	771 045
1990	26	390 424	395 536	785 960
1989	27	388 035	398 622	786 657
1988	28	391 051	405 526	796 577
1987	29	392 113	405 625	797 738
1986	30	397 166	415 466	812 632
1985	31	397 694	414 424	812 118
1984	32	394 487	414 723	809 210
1983	33	391 385	409 924	801 309
1982	34	416 844	434 710	851 554
1981	35	421 347	438 946	860 293
1980	36	428 863	443 778	872 641
1979	37	406 539	420 798	827 337
1978	38	400 092	412 752	812 844
1977	39	406 523	414 045	820 568
1976	40	394 637	404 327	798 964
1975	41	407 044	414 686	821 730
1974	42	430 758	434 997	865 755
1973	43	453 217	462 084	915 301
1972	44	464 935	470 320	935 255
1971	45	461 370	468 226	929 596
1970	46	453 647	459 417	913 064
1969	47	444 344	454 028	898 372
1968	48	439 617	453 790	893 407
1967	49	438 425	449 972	888 397
1966	50	447 323	461 209	908 532
1965	51	447 957	461 449	909 406
1964	52	450 434	468 607	919 041
1963	53	445 604	462 841	908 445
1962	54	428 996	447 536	876 532
1961	55	428 616	448 699	877 315
1960	56	426 039	447 295	873 334
1959	57	419 476	445 320	864 796
1958	58	409 289	435 783	845 072
1957	59	404 428	435 049	839 477
1956	60	399 268	431 012	830 280
1955	61	391 371	426 767	818 138
1954	62	391 215	425 717	816 932
1953	63	379 585	417 348	796 933
1952	64	383 041	423 687	806 728
1951	65	372 916	413 124	786 040
1950	66	385 462	428 235	813 697
1949	67	374 938	420 738	795 676
1948	68	373 836	416 348	790 184
1947	69	363 111	408 218	771 329
1946	70	341 226	387 115	728 341
1945	71	254 890	291 663	546 553
1944	72	245 430	284 816	530 246
1943	73	235 812	275 591	511 403
1942	74	216 345	254 741	471 086
1941	75	189 634	228 170	417 804
1940	76	192 426	238 625	431 051
1939	77	195 108	248 951	444 059
1938	78	186 728	244 971	431 699
1937	79	176 365	240 276	416 641
1936	80	170 321	238 380	408 701
1935	81	158 542	230 952	389 494
1934	82	152 030	229 257	381 287
1933	83	136 455	214 820	351 275
1932	84	130 890	215 514	346 404
1931	85	117 107	201 077	318 184
1930	86	105 230	191 275	296 505
1929	87	87 578	167 944	255 522
1928	88	75 618	153 111	228 729
1927	89	62 933	135 809	198 742
1926	90	52 089	120 776	172 865
1925	91	42 892	105 159	148 051
1924	92	33 531	87 258	120 789
1923	93	25 617	72 709	98 326
1922	94	19 407	60 358	79 765
1921	95	14 319	47 292	61 611
1920	96	10 444	36 658	47 102
1919	97	4 449	16 182	20 631
1918	98	2 474	10 089	12 563
1917	99	1 362	6 765	8 127
1916 ou avant	100 ou plus	3 015	15 617	18 632
	Total	32 455 859	34 534 967	66 990 826
				
Champ : France inclus Mayotte.				
Source : Insee, estimations de population (résultats provisoires à fin 2016).				
