address	city	n	place	zip
cours verdun	bourg	1	salle des fêtes	01000
cours verdun	bourg	2	salle des fêtes	01000
rue antoine de saint exupéry	bourg-en-bresse	3	groupe scolaire saint-exupéry - salle de jeux, maternelle	01000
11 avenue de l’égalité	bourg-en-bresse	4	charles perrault - école primaire	01000
11 avenue de l’égalité	bourg-en-bresse	5	charles perrault - école primaire	01000
12, rue des blanchisseries	bourg-en-bresse	6	groupe scolaire louis parant - salle polyvalente - école primaire	01000
rue de l'alagnier	bourg-en-bresse	9	groupe scolaire de l'alagnier - préau	01000
rue du 23ème r.i	bourg-en-bresse	10	groupe scolaire charles jarrin - hall - maternelle	01000
2 place du maquis	bourg-en-bresse	13	groupe scolaire charles robin - préau - école primaire	01000
2 place du maquis	bourg-en-bresse	14	groupe scolaire charles robin - préau - école primaire	01000
rue de la croix blanche	bourg-en-bresse	17	groupe scolaire alphonse daudet - salle bleue - école primaire	01000
école primaire 4 rue bara	bourg	18	groupe scolaire lazare carnot - salle des maîtres	01000
7 rue du revermont	bourg	19	groupe scolaire des dîmes - salle de jeux, maternelle	01000
2 rue tony ferret	bourg	7	groupe scolaire les arbelles - école maternelle	01000
2 rue brillat savarin	bourg	8	groupe scolaire alphonse baudin - salle de jeux - école maternelle	01000
7 rue la fontaine	bourg	11	groupe scolaire des vennes - restaurant scolaire	01000
7 rue la fontaine	bourg	12	groupe scolaire des vennes - restaurant scolaire	01000
9 rue comte de la teyssonnière	bourg	15	groupe scolaire du peloux - entrée maternelle	01000
2 rue des lilas	bourg	16	groupe scolaire des lilas - préau - primaire	01000
hôtel de ville	saint	1		02000
école de metz	saint	2		02000
école nationale de musique	saint	3		02000
restauration scolaire amédée ozenfant	saint	4		02000
école jumentier lyon	saint	5		02000
école jumentier lyon	saint	6		02000
école maternelle montplaisir	saint	7		02000
bd de verdun	saint	8	salle des fêtes	02000
bd de verdun	saint	9	salle des fêtes	02000
école maternelle jean macé	saint	10		02000
restaurant scolaire georges bachy	saint	11		02000
école maternelle maria montessori	saint	12		02000
école élémentaire ferdinand buisson	saint	13		02000
école élémentaire ferdinand buisson	saint	14		02000
23 cours anatole france	moulins	2	le colisée	03000
39 rue de paris	moulins	3	lycée banville	03000
25 rue louis blanc	moulins	4	école mixte jean moulin	03000
35 rue de bernage	moulins	5	groupe scolaire	03000
50 av. du général de gaulle	moulins	6	école maternelle des gâteaux	03000
16 rue des chartreux	moulins	7	"restaurant scolaire ""les chartreux"""	03000
23 rue des durantats	moulins	8	école maternelle jean macé	03000
1 / 3 rue berthelot	moulins	9	s. e. s. a. m. e	03000
1 / 3 rue berthelot	moulins	10	s. e. s. a. m. e	03000
23 rue des grèves	moulins	11	école primaire françois truffaut	03000
13 bd de courtais	moulins	12	école maternelle marie laurencin	03000
46 / 48 rue thonier	moulins	13	école maternelle l’arc en ciel	03000
13 rue achille roche	moulins	14	école primaire achille roche	03000
allée des platanes	moulins	15	école primaire les rives d’allier ii	03000
16 allée des pyracanthas	moulins	16	salle de sport les capucines	03000
2 rue pape carpantier	moulins	17	collège charles péguy	03000
9 / 11 impasse dieudonné costes	moulins	18	maison des associations	03000
18, allée des pyracanthas	moulins	19	"école maternelle ""les clématites"	03000
hall de l’hôtel de ville	vichy	1	mairie	03200
place de l'hôtel de ville	vichy	2	salle des fêtes	03200
rue du 4 septembre	vichy	3	école paul bert	03200
rue du 4 septembre	vichy	4	école paul bert	03200
rue du 4 septembre	vichy	5	école paul bert	03200
13, rue de provence	vichy	6	école maternelle	03200
rue des pâquerettes	vichy	7	salle des fêtes des garets	03200
place de l'hôtel de ville	vichy	8	salle des fêtes	03200
rue maréchal lyautey	vichy	9	école maternelle lyautey	03200
place de l'hôtel de ville	vichy	10	salle des fêtes	03200
place de l'hôtel de ville	vichy	11	salle des fêtes	03200
centre socio éducatif les ailes	vichy	12		03200
rue du bel air	vichy	13	école de beauséjour (filles)	03200
rue du 4 septembre	vichy	14	école paul bert	03200
bd des romains	vichy	15	salle de la mutualité	03200
rue du bel air	vichy	16	école de beauséjour (garçons)	03200
place de l'hôtel de ville	vichy	17	salle des fêtes	03200
bd martin bret	digne	1	hôtel de ville	04000
bd soustre	digne	2	école soustre	04000
14 rue des epinettes	digne	3	maison de la petite enfance	04000
5 place des cordeliers	digne	4	collège maria borely	04000
mairie annexe des dourbes	digne	5		04000
1 rue louise espie	digne	6	école maternelle des arches	04000
33 bd gambetta	digne	7	ermitage napoléeon	04000
mairie annexe de gaubert	digne	8		04000
lieu dit les écoles	digne	9	école de gaubert	04000
mairie annexe de courbons	digne	10		04000
93 av henri jaubert	digne	11	centre de secours et d'incendie	04000
11 rue du 19 mars 1962	digne	12	école du moulin	04000
4 place théodore aubanel	digne	13	école des sièyes	04000
64 route de champtercier	digne	14	école des augiers	04000
6 chemin des ajoncs	digne	15	école de beausoleil	04000
3 rue charles grouiller	digne	16	école primaire des arches	04000
salle des tilleuls	manosque	1	espace quintrand	04100
