	15 ans	16 ans	17 ans	18 ans	19 ans	20 ans	21 ans	22 ans	23 ans	24 ans	25 ans	26 ans	27 ans	28 ans	29 ans	30 ans	31 ans	32 ans	33 ans	34 ans	35 ans	36 ans	37 ans	38 ans	39 ans	40 ans	41 ans	42 ans	43 ans	44 ans	45 ans	46 ans	47 ans	48 ans	49 ans	50 ans
1947	9	40	132	335	668	1054	1416	1727	1899	1981	2018	1946	1885	1748	1617	1531	1415	1309	1209	1102	996	884	775	673	546	447	346	256	172	111	63	33	16	5	2	0
1948	9	43	132	337	671	1094	1442	1745	1912	1983	1991	1924	1839	1769	1627	1506	1416	1281	1180	1074	986	864	752	653	542	433	341	250	174	110	60	31	15	7	2	0
1949	9	43	139	345	674	1068	1466	1767	1926	2017	2003	1927	1873	1743	1632	1517	1375	1279	1175	1040	941	840	733	622	524	418	323	238	169	103	61	31	14	6	3	0
1950	10	46	141	344	662	1064	1431	1760	1910	1983	1973	1891	1827	1717	1592	1483	1362	1238	1126	1032	921	803	713	616	504	410	321	226	155	100	56	28	12	6	3	0
1951	9	41	134	321	639	1016	1396	1706	1872	1929	1911	1793	1718	1617	1515	1381	1284	1177	1058	955	872	756	654	576	483	382	296	223	150	94	53	26	12	5	2	0
1952	8	39	125	318	623	1012	1362	1681	1850	1929	1896	1787	1703	1607	1503	1388	1252	1149	1065	943	856	767	650	557	477	384	285	219	150	90	50	28	12	4	3	0
1953	8	39	125	306	609	986	1347	1653	1834	1906	1888	1782	1673	1561	1455	1337	1226	1086	1012	912	810	727	640	535	445	355	268	201	137	85	48	23	12	5	2	0
1954	9	38	126	298	600	987	1358	1669	1844	1930	1891	1800	1692	1576	1460	1339	1223	1110	977	890	826	713	634	555	454	356	278	200	134	86	48	24	11	4	2	0
1955	9	40	125	301	582	964	1348	1672	1863	1929	1909	1814	1716	1571	1422	1315	1193	1081	965	859	777	702	606	527	439	351	265	193	132	82	45	23	10	4	1	0
1956	11	39	125	301	599	969	1337	1686	1875	1954	1916	1825	1706	1574	1432	1317	1183	1065	965	850	755	670	597	505	417	342	256	185	125	76	42	22	9	4	1	0
1957	11	47	130	288	554	930	1307	1666	1888	1978	1981	1870	1777	1633	1473	1342	1200	1071	960	855	764	660	582	511	415	336	257	184	121	78	42	21	10	4	1	0
1958	9	44	141	307	569	933	1318	1671	1894	1983	1971	1887	1759	1614	1469	1333	1179	1071	931	841	749	655	553	479	423	331	258	185	121	75	45	22	9	4	2	0
1959	13	52	145	336	624	967	1360	1749	1944	2055	2040	1906	1794	1647	1506	1359	1209	1076	963	851	755	653	568	473	402	340	257	191	130	77	43	21	9	4	2	0
1960	13	54	154	355	661	1029	1372	1741	1981	2045	2042	1926	1785	1637	1479	1348	1199	1060	935	833	718	634	546	466	378	313	247	178	123	71	39	20	8	4	2	0
1961	12	56	169	370	688	1081	1468	1801	2011	2124	2089	2007	1839	1693	1536	1367	1241	1089	962	843	737	637	556	481	381	308	242	180	122	75	43	20	8	4	2	0
1962	12	51	167	377	685	1078	1479	1811	2010	2092	2094	1969	1849	1676	1526	1367	1217	1074	941	819	721	631	526	450	378	297	225	163	121	74	43	19	10	4	1	0
1963	11	51	165	406	748	1170	1569	1899	2115	2145	2127	2038	1891	1744	1560	1415	1250	1106	980	855	747	638	551	453	372	303	228	164	113	73	41	20	9	4	1	0
1964	12	53	167	396	792	1242	1660	1957	2108	2139	2134	2012	1889	1718	1567	1406	1255	1105	981	850	737	644	542	458	376	299	232	163	110	68	39	22	10	4	2	0
1965	11	62	171	397	787	1263	1651	1953	2061	2087	2057	1954	1838	1684	1521	1379	1211	1070	945	828	725	617	527	434	357	285	216	157	105	63	39	22	8	5	2	0
1966	12	52	164	384	750	1221	1649	1939	2048	2035	2010	1896	1803	1663	1493	1349	1205	1070	941	816	715	614	510	432	348	285	215	154	103	65	35	18	8	4	2	0
1967	11	50	156	370	713	1138	1544	1836	1968	1971	1906	1811	1715	1594	1448	1305	1146	1021	883	787	678	591	494	414	335	265	200	142	96	62	33	16	8	3	1	0
1968	11	48	160	372	704	1106	1480	1779	1903	1926	1866	1734	1651	1523	1404	1275	1109	983	862	752	659	566	479	403	322	256	193	140	95	58	33	17	6	4	1	0
1969	11	49	164	381	705	1110	1442	1712	1862	1873	1824	1722	1610	1485	1355	1245	1101	968	843	741	631	549	470	388	321	250	188	132	93	56	33	17	8	2	2	0
1970	12	50	163	391	728	1113	1456	1704	1829	1850	1808	1695	1581	1421	1319	1194	1053	934	800	705	609	536	447	369	299	241	179	125	84	51	31	14	8	3	1	0
1971	13	56	173	407	757	1148	1470	1726	1842	1852	1827	1715	1598	1450	1296	1172	1046	922	812	700	608	532	447	368	301	233	180	127	85	52	30	16	7	3	1	0
1972	14	60	188	429	784	1154	1466	1676	1796	1811	1773	1664	1529	1401	1243	1102	991	877	764	661	568	491	418	349	285	224	166	121	84	48	26	14	6	3	1	0
1973	13	58	186	434	773	1131	1421	1617	1721	1734	1696	1584	1473	1340	1189	1051	908	822	717	621	537	462	383	322	259	205	155	109	77	43	24	12	5	3	1	0
